date,ticker,spot,open,call_vol,put_vol,call_oi,put_oi,call_prem,put_prem,pc_vol,pc_oi,n_expiries,atm_iv,iv_skew,exp_move,vix,vxn,ovx,sp500,nasdaq
2026-07-07,MSFT,386.74,387.04,151300,62001,0,0,71712286.0,37738831.0,0.4098,,8,0.0156,0.0,0.0046,16.1299991607666,27.920000076293945,47.59000015258789,7503.85009765625,25818.689453125
2026-07-07,NVDA,195.55,194.42,689353,316992,0,0,167765948.0,87001102.0,0.4598,,8,0.0234,0.0,0.0068,16.1299991607666,27.920000076293945,47.59000015258789,7503.85009765625,25818.689453125
2026-07-07,TSLA,419.77,397.5,884854,463552,218,1246,1008374079.0,178031673.0,0.5239,5.7156,8,0.0156,0.0,0.0046,16.1299991607666,27.920000076293945,47.59000015258789,7503.85009765625,25818.689453125
2026-07-07,WMT,110.65,111.4,86925,23905,0,0,9988699.0,5641602.0,0.275,,7,0.0156,0.0,0.0046,16.1299991607666,27.920000076293945,47.59000015258789,7503.85009765625,25818.689453125
2026-07-07,XOM,136.44,136.55,12733,9026,1,19,1870547.0,9308611.0,0.7089,19.0,7,0.0234,0.0,0.0068,16.1299991607666,27.920000076293945,47.59000015258789,7503.85009765625,25818.689453125
2026-07-08,AAPL,310.66,315.29,428994,395122,1,0,96178286.0,70113678.0,0.921,0.0,8,0.0156,0.0,0.0033,16.899999618530273,27.860000610351562,50.45000076293945,7482.7099609375,25870.650390625
2026-07-08,AMZN,245.98,246.98,344401,154033,0,0,132677528.0,77568718.0,0.4472,,8,0.0156,0.0,0.0033,16.899999618530273,27.860000610351562,50.45000076293945,7482.7099609375,25870.650390625
2026-07-08,GOOGL,367.03,369.07,165016,54654,3,0,42671370.0,14956540.0,0.3312,0.0,8,0.0156,0.0,0.0033,16.899999618530273,27.860000610351562,50.45000076293945,7482.7099609375,25870.650390625
2026-07-08,JPM,339.22,340.98,41513,11191,589,133,73835310.0,3283396.0,0.2696,0.2258,7,0.0156,0.0,0.0045,16.899999618530273,27.860000610351562,50.45000076293945,7482.7099609375,25870.650390625
2026-07-08,META,615.58,607.59,371064,123433,9,21,251584906.0,90811906.0,0.3326,2.3333,8,0.0156,0.0,0.0033,16.899999618530273,27.860000610351562,50.45000076293945,7482.7099609375,25870.650390625
2026-07-08,MSFT,388.84,392.49,336162,92704,0,0,87943007.0,39407435.0,0.2758,,8,0.0156,0.0,0.0033,16.899999618530273,27.860000610351562,50.45000076293945,7482.7099609375,25870.650390625
2026-07-08,NVDA,196.93,192.37,1357522,674087,0,1563,342818432.0,117328906.0,0.4966,,8,0.0156,0.0,0.0033,16.899999618530273,27.860000610351562,50.45000076293945,7482.7099609375,25870.650390625
2026-07-08,TSLA,402.9,416.96,974574,1018392,222,1248,344370843.0,733552545.0,1.045,5.6216,8,0.0156,-0.0312,0.0039,16.899999618530273,27.860000610351562,50.45000076293945,7482.7099609375,25870.650390625
2026-07-08,WMT,111.54,112.97,134572,24447,46,33,14085120.0,7483237.0,0.1817,0.7174,7,0.0156,0.0,0.0045,16.899999618530273,27.860000610351562,50.45000076293945,7482.7099609375,25870.650390625
2026-07-08,XOM,141.69,138.56,65218,13460,4,80,14143362.0,2896987.0,0.2064,20.0,7,0.0156,0.0,0.0045,16.899999618530273,27.860000610351562,50.45000076293945,7482.7099609375,25870.650390625
2026-07-09,AAPL,313.39,311.91,238464,223790,1,0,113644465.0,28847924.0,0.9385,0.0,8,0.0234,-0.0312,0.0058,15.84000015258789,26.90999984741211,45.9900016784668,7543.64013671875,26206.890625
2026-07-09,AMZN,243.62,244.27,135878,71858,0,0,69429273.0,47576254.0,0.5288,,8,0.0234,0.0312,0.0058,15.84000015258789,26.90999984741211,45.9900016784668,7543.64013671875,26206.890625
2026-07-09,GOOGL,361.92,364.76,76027,28865,0,2173,35385461.0,12447235.0,0.3797,,8,0.0156,0.0,0.0038,15.84000015258789,26.90999984741211,45.9900016784668,7543.64013671875,26206.890625
2026-07-09,JPM,330.62,336.53,34211,17723,588,109,71634365.0,7002132.0,0.518,0.1854,7,0.0156,0.0,0.0044,15.84000015258789,26.90999984741211,45.9900016784668,7543.64013671875,26206.890625
2026-07-09,META,603.12,614.39,114904,47278,0,21,76959258.0,65227672.0,0.4115,,8,0.0156,0.0,0.0038,15.84000015258789,26.90999984741211,45.9900016784668,7543.64013671875,26206.890625
2026-07-09,MSFT,383.34,384.03,125445,36618,0,0,40348612.0,20797723.0,0.2919,,8,0.0156,-0.0312,0.0038,15.84000015258789,26.90999984741211,45.9900016784668,7543.64013671875,26206.890625
2026-07-09,NVDA,204.12,195.18,1397745,502152,0,0,606419785.0,72193032.0,0.3593,,8,0.0234,-0.0312,0.0058,15.84000015258789,26.90999984741211,45.9900016784668,7543.64013671875,26206.890625
